Message,Prediction,Topic
"
Sender: usenet@news.duc.auburn.edu (News Account)
Nntp-Posting-Host: ducvax
Organization: Auburn University, AL
Date: Fri, 16 Apr 1993 22:35:58 GMT
Lines: 18

Hello,

I just canceled my support of the Cable Regime and I would like to at
least pick up the 3 networks and NBC.  :)   I do not have tons of
money nor even a few pounds so what I am looking for is the best solution
for reception for under 100 dollars.  I have seen modules that you plug
into your wall outlet that ""supposedly"" make your entire house an
antenna.  I have to admit, even with my limited knowledge of wavelength
and aerial reception, this seems dubious in its claims for ""excellent
reception"" at best.  I'll try anything, though, if it WORKS.  I am in
a non-mountainous area, approximately 50 miles from the transmitting stations
which are pretty large (Montgomery Alabama pop. 200,000) and Colombus Goergia,
pop. 100,000+.  Any recommendations of products, brand-names, prices and 
company info (catalog ordering numbers, addresses etc.)?  Thank you in
advance.

Paul Sylvester Shanley   pshanley@humsci.auburn.edu   VOICE 205 887 7440

",E,E
"

Could someone please tell me if a 1/4 decoder is the same as a 1 to 4
demultiplexer. I know how to link 2 of these to get an 8 output circuit,
but how do I link 5 of these to make a 1/16 multiplexer. Sorry if this
seems like a lame question, but I'm only a newbie to electronics, and I
have to do this circuit. Please make any mail as droolproof as possible.

				 Thanx,
					Taro Ogawa
					(u934132@student.canberra.edu.au)
",E,E
"
NNTP-Posting-Host: ucssun1.sdsu.edu

In article <1993Apr6.005150.10250@ee.rochester.edu> neale@ee.rochester.edu (Reg Neale) writes:
>I'm trying to figure out how to operate a Pioneer Laserdisc LD-1000 that I bought at a surplus store. It is reputedly from some kind of computerised viewing
>and/or ordering system. THere is what may be an HPIB connector on the back. When
>I power it up, the front panel power light comes on, but no activity, and the
>door doesn't open. Anyone have any experience with this unit or any ideas on how
>to obtain documentation?

What you have is one of the LD players from a video game (Dragon's Lair,
Space Ace, etc). Call Pioneer Technicial Support 213-498-0300 (at least
that's the number I called them at) and ask for the LD-V1000 Interface
Guide. It shows how the parallel interface should be wired and the codes
for the commands (play, pause, reject, etc). The guide is mainly for hooking
the player to a computer, but with a little work, you could build a wired
controller.


Jim Keais        jkeais@ucssun1.sdsu.edu
",E,E
"
Message-ID: <1qmbi7$aln@transfer.stratus.com>
References: <1pseebINNhn6@rave.larc.nasa.gov> <1993Apr7.094703.14511@news.cs.indiana.edu> <bhaskar.734241478@orion.me.uiuc.edu> <C55CxI.95B@mentor.cc.purdue.edu> <mdonahue.15x9@amiganet.chi.il.us>,<C5K177.BoK@world.std.com>
NNTP-Posting-Host: m3-enet.eng.stratus.com


>Off-shore assembly is one reason that Adcom is able to make products 
>that perform as well as those from people like Audio Research and Van 
>Alstine (and better than Hafler and Forte'), but at a much lower cost. 

How do you spell ""tuna helper"" ? 

I gather by off-shore assembly you mean that adcoms are built by 
blue-fin tuna's who are into that squid-fi sound?  (I agree on that one). 
My Adcom 555 preamp did sound better after installing the famous  
""running the chips class ""A"" resistor mod"", and replacing the metal 
bottom cover with plexiglass,, too bad the factory could not make em sound 
better,, but better sound, unfortunately, does not appear to be a priority 
with Adcom, else the mods would neither have been necessary, nor would they 
have improved what was already touted as superlative state-o-d-art le'sound. 
I really want to hear from all those people out there who have traded up  
from an sp9II (even an sp3a!) to a GFP-555/etc., or maybe from those that 
have dumped their forte' amps for a GFA-555/etc....  


",E,E
"

These circuits abound in most electronic project books.  If you're more
inclined to buy something, try Radio Shack.  I think they still have a
device that is designed to disconnect an answering machine when an
extension line is lifted.  It has LED indicators also. 

--kyler
",E,E
"
Distribution: world
Message-ID: <rhaller-260493125012@rhaller.cc.uoregon.edu>
NNTP-Posting-Host: rhaller.cc.uoregon.edu

The following is based on copies I was given of some articles published in
Hearing Instruments. I would appreciate any comments about this and other
'new' technology for hearing aids.

The ReSound system was developed on the basis of some research at AT&T and
appears to take a different approach from other aids. It appears to me that
a new 'programmable' aid like the Widex just uses a more flexible (and
programmable) version of the classical approach of amplifying some parts of
the spectrum more than others and adding some compression to try and help
out in 'noisy' situations.

The major difference in the ReSound approach is that it divides the
spectrum into low and high frequencies (splitting point is programmable),
apparently based on the fact that lots of vowel information can be found in
the low frequencies, while the important consonant information
(unfortunately for me) is in the high frequencies. The two bands then are
treated with different compression schemes which are programable. They have
also developed a new fitting algorythm that builds on what they call
'abnormal growth of loudness'.

This latter is interesting and fits my own personal experience, though I
think the phrase is missleading. What appears to be the case is that as you
exceed the minimum threshold for a person with hearing loss, the deficit
becomes progresslively less compared to normals and by the time you reach
the 'too loud' point the sensitivity curves appear to converge.  This means
that if you just boost all sound levels, you are overloading at the high
end for people with hearing losses. Hence what you want is progressively
less amplification as the signal get closer to the maximum tolerable point.
You want to boost low volume sounds more than high and do so potentially
differently for the low and high frequency parts of the spectrum (specially
for someone like me who is relatively normal up to 1000 cps and then falls
off a cliff).

Aids with simple compressors don't descriminate between energy in the low
and high frequencies and can therefor 'compress' useful high frequency
information because of high volume of low frequency components.
Particularly impressive was the ReSound performance with whispered speech
and in simulated restaurant noise situations. 

-Rich Haller <rhaller@ns.uoregon.edu>   University of Oregon, Eugene, OR,
USA
",E,M
"
NNTP-Posting-Host: 146.64.23.16
X-Disclaimer: None of the opions expressed herein are the official
X-Disclaimer: opinions of the CSIR or any of its subsidiaries.
X-Disclaimer: **  So don't freak out at _us_ about anything  **

Howdy chaps

Has anybody got any pointers to good C, Pascal, etc compilers for 
microcontrollers, shareware or otherwise ?

My specific need is for 8051 C, but if the responses are many and varied I 
will post a summary.

Cheers
Mike


Mike Abbott	mabbot@stellenbos.csir.co.za
Cape Town	mabbot@fred.csir.co.za
South Africa
",E,E
"

kolstad@cae.wisc.edu (Joel Kolstad) writes:

> In article <734953838.AA00510@insane.apana.org.au> peter.m@insane.apana.org.a
> >
> >If you are going to use one where it counts (eg:aviation, space scuttle, 
> >etc) then I suggest you go and buy a Fluke (never seen a Beckman), however 
> >for every other use you can buy a cheapie.
> 
> My Beckman died a few days ago, thanks do about a 4 or 5 foot drop onto a
> lab table.  !@#!@$#!@$@#$  Probably not indicative of anything, but I've
> already filled out the requisition for a Fluke 87. :-)
> 
> Oh yeah, and sometimes our measurements here do count.  Not often, but often
> enough that I want at least _one_ good meter!
> 					---Joel Kolstad
   
We used to buy Beckman 110 and HD110 (""ruggedized"") versions for use
by electricians in the steel mill where I work.   After a while we
got round to filling all the current-input jacks with silicone -
electricians have a regrettable habit of not checking where the last
guy left the leads before using a 3 1/2 digit 0.5 % autoranging $400
meter to check if a fuse is good or not. Its very hard on meters
(and electricians) when you put the milliamp shunt across a 600 volt
bus. 
  But that's not why we stopped buying Beckmans - after a while a 
lot of them got ""funny"" in the LCD display.  A black stain would
spread from one edge, or else they'd come adrift from those
Zebra connectors and fail to operate.    Now we buy Flukes, the
low-end 20 series mostly ( and we still fill the amp jack with 
silicone). 
  What the world needs is a meter that won't let you change ranges or
turn it on/off with a lead stuck in the amps jack - a little bit of
clever plastic detailing would take care of this and make the world
safer for electricans, anyway.
   Not that I've ever put a meter on the wrong range into a live 
circuit, no, not me...not more than a dozen times, anyway....
    Bill


bills@inqmind.bison.mb.ca
The Inquiring Mind BBS, Winnipeg, Manitoba  204 488-1607
",E,E
"

In article <1rjpu7INNmij@shelley.u.washington.edu>, kryan@stein.u.washington.edu (Kerry Ryan) writes...
> 
>Hello, a friend is under going kemotherapy(sp?) for breast cancer. I'm
>trying to learn what I can about it. Any info would be appreciated.
>Thanks.

You've asked a toughie of a question.  There are many different drugs which
are used for chemotherapy.

The overall purpose of chemotherapy (don't worry about the spelling.  Some of
these crazy medical words are impossible to spell! :-) is to either destroy
cancer cells or to keep them from growing.  Different drugs have different
effects on cancer cells, and therefore, it is not uncommon to use more than
one drug at a time.

Some chemotherapeutic drugs are effective anytime during the growth cycle
of a cell.  Others work only at specific times during the cell cycle.

The first phase of the cell cycle is G1; it is when the protein synthesis
and RNA systhesis occurs.  In the second phase, S, synthesis of DNA occurs.
The third phase is G2; The DNA splits and RNA and protein are synthesized 
aagain.  In the fourth phase, M (or Mitosis), the cell may divide.

There are drugs which are effective in each phase.  Some stop DNA synthesis.
Others stop the cell from dividing. Others wreck protein synthesis.
At any rate, the end result that is being sought is for the cancer cells
to stop growing.

If what you are seeking is ""practical"" advice, I apologize for rambling
on the techno stuff.  Some side effects are pretty common.  Chemo. drugs
are rather nasty.  It can cause a person to lose their appetite and to 
experience nausea and vomiting.  Things to help this include eating small
frequent meals.  It is also suggested that if nausea/vomiting (hereafter
known as n/v) occurs that the person notify the doctor; there are medicines
tthat help nausea.  Diarrhea can be an effect.  Antidiarrheal medications 
can be given, and good skincare and fluid intake are important.

Probably the one of biggest concsern is hair loss.  This does not always
happen.  It depends on what drugs are being given, and on the person 
themself.  Different people taking the same drug can and do have different
side effects.  I have seen some literature which states that wearing a snug
headband and/or wearing an ice cap can help reduce hair loss, presumably
by reducing blood flow to the scalp.  If anyone has seen research on this
too, I would love to see it, and possibly some bib data.

I highly recommend making contact with the American Cancer Society.
They have a vast selection of literature and information.  In addition,
if your friend has had a mastectomy, I highly recommend ""Reach for Recovery"".
It is a support group comprised entirely of women who have lost a breast 
because of cancer.  They can offer some excellent support and suggestions.

If you have further questions, please send me E-mail.  I hav some good
access to information, and I enjoy trying to help other people.

I wish the best to you and your friend.


",M,M
"

In article <1993Apr15.150550.15347@ecsvax.uncecs.edu> ccreegan@ecsvax.uncecs.edu (Charles L. Creegan) writes:
>
>What about Kekule's infamous derivation of the idea of benzene rings
>from a daydream of snakes in the fire biting their tails?  Is this
>specific enough to count?  Certainly it turns up repeatedly in basic
>phil. of sci. texts as an example of the inventive component of
>hypothesizing. 

I sometimes wonder if Kekule's dream wasn't just a wee bit influenced by
aromatic solvent vapors ;-) heh heh.


-- 
=============================================================================
Neal Howard   '91 XLH-1200      DoD #686      CompuTrac, Inc (Richardson, TX)
	      doh #0000001200   |355o33|      neal@cmptrc.lonestar.org
	      Std disclaimer: My opinions are mine, not CompuTrac's.
         ""Let us learn to dream, gentlemen, and then perhaps
          we shall learn the truth."" -- August Kekule' (1890)
=============================================================================
",M,M
